Type,Root Function Name,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"Root","`dynamic initializer for 'std::_Error_objects<int>::_Iostream_object''","`dynamic initializer for 'std::_Error_objects<int>::_Iostream_object''",1,0.03,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","`dynamic initializer for 'std::_Error_objects<int>::_Iostream_object''","__tmainCRTStartup",1,0.03,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Callee","`dynamic initializer for 'std::_Error_objects<int>::_Iostream_object''","_RTC_CheckEsp",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Callee","`dynamic initializer for 'std::_Error_objects<int>::_Iostream_object''","atexit",1,0.02,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Callee","`dynamic initializer for 'std::_Error_objects<int>::_Iostream_object''","std::_Iostream_error_category::_Iostream_error_category",1,0.01,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Root","`dynamic initializer for 'std::_Error_objects<int>::_System_object''","`dynamic initializer for 'std::_Error_objects<int>::_System_object''",1,0.03,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","`dynamic initializer for 'std::_Error_objects<int>::_System_object''","__tmainCRTStartup",1,0.03,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Callee","`dynamic initializer for 'std::_Error_objects<int>::_System_object''","_RTC_CheckEsp",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Callee","`dynamic initializer for 'std::_Error_objects<int>::_System_object''","atexit",1,0.02,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Callee","`dynamic initializer for 'std::_Error_objects<int>::_System_object''","std::_System_error_category::_System_error_category",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Root","atexit","atexit",4,0.15,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","atexit","`dynamic initializer for 'std::_Error_objects<int>::_Generic_object''",1,0.03,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","atexit","`dynamic initializer for 'std::_Error_objects<int>::_Iostream_object''",1,0.02,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","atexit","`dynamic initializer for 'std::_Error_objects<int>::_System_object''",1,0.02,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","atexit","pre_cpp_init",1,0.07,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Callee","atexit","_onexit",4,0.15,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Root","check_managed_app","check_managed_app",1,0.01,0.01,0.00,0.00,"ConsoleApplication2.exe",
"Caller","check_managed_app","pre_c_init",1,0.01,0.01,0.00,0.00,"ConsoleApplication2.exe",
"Root","exit","exit",1,0.17,0.15,0.01,0.01,"MSVCR120D.dll",
"Caller","exit","__tmainCRTStartup",1,0.17,0.15,0.01,0.01,"ConsoleApplication2.exe",
"Callee","exit","_RTC_Terminate",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Callee","exit","`dynamic atexit destructor for 'std::_Error_objects<int>::_Generic_object''",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Callee","exit","`dynamic atexit destructor for 'std::_Error_objects<int>::_Iostream_object''",1,0.01,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Callee","exit","`dynamic atexit destructor for 'std::_Error_objects<int>::_System_object''",1,0.01,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Root","main","main",1,96.17,0.02,4.37,0.00,"ConsoleApplication2.exe",
"Caller","main","__tmainCRTStartup",1,96.17,0.02,4.37,0.00,"ConsoleApplication2.exe",
"Callee","main","??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@P6AAAV01@AAV01@@Z@Z",10,5.87,0.13,0.03,0.00,"MSVCP120D.dll",
"Callee","main","_RTC_CheckEsp",11,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Callee","main","_RTC_CheckStackVars",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Callee","main","std::operator<<<std::char_traits<char> >",5,63.66,0.16,0.58,0.00,"ConsoleApplication2.exe",
