Type,Root Function Name,Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name,
"Root","`dynamic initializer for 'std::_Error_objects<int>::_Generic_object''","`dynamic initializer for 'std::_Error_objects<int>::_Generic_object''",1,0.08,0.06,0.01,0.01,"ConsoleApplication2.exe",
"Caller","`dynamic initializer for 'std::_Error_objects<int>::_Generic_object''","__tmainCRTStartup",1,0.08,0.06,0.01,0.01,"ConsoleApplication2.exe",
"Callee","`dynamic initializer for 'std::_Error_objects<int>::_Generic_object''","_RTC_CheckEsp",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Callee","`dynamic initializer for 'std::_Error_objects<int>::_Generic_object''","atexit",1,0.02,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Callee","`dynamic initializer for 'std::_Error_objects<int>::_Generic_object''","std::_Generic_error_category::_Generic_error_category",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Root","`dynamic initializer for 'std::_Error_objects<int>::_Iostream_object''","`dynamic initializer for 'std::_Error_objects<int>::_Iostream_object''",1,0.02,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","`dynamic initializer for 'std::_Error_objects<int>::_Iostream_object''","__tmainCRTStartup",1,0.02,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Callee","`dynamic initializer for 'std::_Error_objects<int>::_Iostream_object''","_RTC_CheckEsp",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Callee","`dynamic initializer for 'std::_Error_objects<int>::_Iostream_object''","atexit",1,0.01,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Callee","`dynamic initializer for 'std::_Error_objects<int>::_Iostream_object''","std::_Iostream_error_category::_Iostream_error_category",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Root","`dynamic initializer for 'std::_Error_objects<int>::_System_object''","`dynamic initializer for 'std::_Error_objects<int>::_System_object''",1,0.02,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","`dynamic initializer for 'std::_Error_objects<int>::_System_object''","__tmainCRTStartup",1,0.02,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Callee","`dynamic initializer for 'std::_Error_objects<int>::_System_object''","_RTC_CheckEsp",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Callee","`dynamic initializer for 'std::_Error_objects<int>::_System_object''","atexit",1,0.01,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Callee","`dynamic initializer for 'std::_Error_objects<int>::_System_object''","std::_System_error_category::_System_error_category",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Root","atexit","atexit",4,0.08,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","atexit","`dynamic initializer for 'std::_Error_objects<int>::_Generic_object''",1,0.02,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","atexit","`dynamic initializer for 'std::_Error_objects<int>::_Iostream_object''",1,0.01,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","atexit","`dynamic initializer for 'std::_Error_objects<int>::_System_object''",1,0.01,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","atexit","pre_cpp_init",1,0.04,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Callee","atexit","_onexit",4,0.08,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Root","check_managed_app","check_managed_app",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Caller","check_managed_app","pre_c_init",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Root","exit","exit",1,0.27,0.25,0.02,0.02,"MSVCR120D.dll",
"Caller","exit","__tmainCRTStartup",1,0.27,0.25,0.02,0.02,"ConsoleApplication2.exe",
"Callee","exit","_RTC_Terminate",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Callee","exit","`dynamic atexit destructor for 'std::_Error_objects<int>::_Generic_object''",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Callee","exit","`dynamic atexit destructor for 'std::_Error_objects<int>::_Iostream_object''",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Callee","exit","`dynamic atexit destructor for 'std::_Error_objects<int>::_System_object''",1,0.01,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Root","main","main",1,96.87,0.03,7.74,0.00,"ConsoleApplication2.exe",
"Caller","main","__tmainCRTStartup",1,96.87,0.03,7.74,0.00,"ConsoleApplication2.exe",
"Callee","main","??6?$basic_ostream@DU?$char_traits@D@std@@@std@@QAEAAV01@P6AAAV01@AAV01@@Z@Z",20,6.87,0.11,0.03,0.00,"MSVCP120D.dll",
"Callee","main","_RTC_CheckEsp",21,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Callee","main","_RTC_CheckStackVars",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Callee","main","std::operator<<<std::char_traits<char> >",10,66.10,0.08,0.53,0.00,"ConsoleApplication2.exe",
"Callee","main","String::~String",2,0.12,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Callee","main","String::append",7,0.27,0.04,0.00,0.00,"ConsoleApplication2.exe",
"Callee","main","String::print",6,23.30,0.01,0.31,0.00,"ConsoleApplication2.exe",
"Callee","main","String::String",1,0.16,0.03,0.01,0.00,"ConsoleApplication2.exe",
"Callee","main","String::String",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Root","mainCRTStartup","mainCRTStartup",1,100.00,1.83,7.99,0.15,"ConsoleApplication2.exe",
"Callee","mainCRTStartup","__security_init_cookie",1,0.00,0.00,0.00,0.00,"ConsoleApplication2.exe",
"Callee","mainCRTStartup","__tmainCRTStartup",1,98.17,0.16,7.84,0.01,"ConsoleApplication2.exe",
"Root","operator new[]","operator new[]",9,0.18,0.18,0.00,0.00,"ConsoleApplication2.exe",
"Caller","operator new[]","String_Buffer::allocate",2,0.16,0.16,0.01,0.01,"ConsoleApplication2.exe",
"Caller","operator new[]","String_Buffer::append",7,0.01,0.01,0.00,0.00,"ConsoleApplication2.exe",
"Root","pre_c_init","pre_c_init",1,0.16,0.00,0.01,0.00,"ConsoleApplication2.exe",
"Caller","pre_c_init","__tmainCRTStartup",1,0.16,0.00,0.01,0.00,"ConsoleApplication2.exe",
